name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
Bryan Little,littb001,1959-10-08,Houston,TX,USA,B,R,70,160,,5,0.675,327,922,226,3,77,120,1.57,littg801,Greg Litton,Brother
Bubba Crosby,crosb002,1976-08-11,Houston,TX,USA,L,L,71,180,,4,0.555,205,250,54,4,20,10,-1.61,crose101,Ed Crosby,Son
Buck Martinez,martb104,1948-11-07,Redding,CA,USA,R,R,70,190,,17,0.626,1049,2743,618,58,321,230,4.49,martj001,J. C. Martin,Father
Buddy Bell,bellb001,1951-08-27,Pittsburgh,PA,USA,R,R,73,180,,18,0.806,2405,8995,2514,201,1106,836,67.38,belld002,Derek Bell,Father
Buddy Bell,bellb001,1951-08-27,Pittsburgh,PA,USA,R,R,73,180,,18,0.806,2405,8995,2514,201,1106,836,67.38,bellm003,Mike Bell,Father
Buddy Bell,bellb001,1951-08-27,Pittsburgh,PA,USA,R,R,73,180,,18,0.806,2405,8995,2514,201,1106,836,67.38,bellg103,,Son
Buddy Booker,bookb101,1942-05-28,Lynchburg,VA,USA,L,R,70,170,,1,0.167,5,5,0,0,0,1,-0.08,bookg001,,Related To
Buddy Hunter,huntb103,1947-08-09,Omaha,NE,USA,R,R,70,170,,3,0.89,22,17,5,0,2,5,0.06,huntg101,,Brother
Buddy Kennedy,kennb002,1998-10-05,Millville,NJ,USA,R,R,73,190,,4,0.78,67,157,28,2,20,18,-1.22,moned101,Don Money,Grandson
C. J. Cron,cronc002,1990-01-05,Fullerton,CA,USA,R,R,76,235,,10,0.83,1049,3670,953,187,604,268,12.01,cronk001,Kevin Cron,Brother
C. J. Cron,cronc002,1990-01-05,Fullerton,CA,USA,R,R,76,235,,10,0.83,1049,3670,953,187,604,268,12.01,cronc001,Chris Cron,Son
